,Game,Developer(s),Publisher,Platform,Release date,Sales,exito
0,Pokémon Red / Green / Blue / Yellow,Game Freak,Nintendo,Game Boy,1996-02-27,46020000,Sí
1,Tetris,Nintendo R&D1,Nintendo,Game Boy,1989-06-14,35000000,Sí
2,Pokémon Gold / Silver / Crystal,Game Freak,Nintendo,Game Boy Color,1999-11-21,29490000,Sí
3,Super Mario Land,Nintendo R&D1,Nintendo,Game Boy,1989-04-21,18140000,Sí
4,Super Mario Land 2: 6 Golden Coins,Nintendo R&D1,Nintendo,Game Boy,1992-10-21,11180000,Sí
5,Dr. Mario,Nintendo R&D1,Nintendo,Game Boy,1990-07-27,5340000,Sí
6,Pokémon Pinball,Jupiter,Nintendo,Game Boy Color,1999-04-14,5310000,Sí
7,Wario Land: Super Mario Land 3,Nintendo R&D1,Nintendo,Game Boy,1994-01-21,5190000,Sí
8,Kirby's Dream Land,HAL Laboratory,Nintendo,Game Boy,1992-04-27,5130000,Sí
9,Super Mario Bros. Deluxe,Nintendo EAD,Nintendo,Game Boy Color,1999-05-01,5070000,Sí
10,The Legend of Zelda: Oracle of Seasons and Oracle of Ages,Flagship,Nintendo,Game Boy Color,2001-02-27,3960000,Sí
11,Donkey Kong Land,Rare,Nintendo,Game Boy,1995-06-26,3910000,Sí
12,The Legend of Zelda: Link's Awakening,Nintendo EAD,Nintendo,Game Boy,1993-06-06,3830000,Sí
13,Pokémon Trading Card Game,Hudson Soft and Creatures Inc.,Nintendo,Game Boy Color,1998-12-18,3720000,Sí
14,F-1 Race,Nintendo R&D1,Nintendo,Game Boy,1990-11-09,3410000,Sí
15,Yoshi,Game Freak,Nintendo,Game Boy,1991-12-14,3120000,Sí
16,Donkey Kong,Nintendo EAD and Pax Softnica,Nintendo,Game Boy,1994-06-14,3070000,Sí
17,Tamagotchi (Game de Hakken!! Tamagotchi),Bandai,Bandai,Game Boy,1997-01-01,3000000,Sí
18,Yu-Gi-Oh! Duel Monsters 4: Battle of Great Duelists,Konami,Konami,Game Boy Color,2000-12-07,2500000,Sí
19,Yu-Gi-Oh! Dark Duel Stories,Konami,Konami,Game Boy Color,2000-07-13,2396518,Sí
20,Kirby's Dream Land 2,HAL Laboratory,Nintendo,Game Boy,1995-03-21,2360000,Sí
21,Donkey Kong Land 2,Rare,Nintendo,Game Boy,1996-09-23,2350000,Sí
22,Dragon Warrior Monsters,Tose,Enix,Game Boy Color,1998-09-25,2350000,Sí
